0: 0
1: 1
2: 2
3: 3
4: 4
5: 5
6: 6
7: 7
8: 8
9: 9
10: 가
11: 나
12: 다
13: 라
14: 마
15: 바
16: 사
17: 아
18: 자
19: 거
20: 너
21: 더
22: 러
23: 머
24: 버
25: 서
26: 어
27: 저
28: 고
29: 노
30: 도
31: 로
32: 모
33: 보
34: 소
35: 오
36: 조
37: 구
38: 누
39: 두
40: 루
41: 무
42: 부
43: 수
44: 우
45: 주
46: 배
47: 하
48: 허
49: 호
50: 국
51: 합
52: 육
53: 해
54: 공
55: 울
56: 산
57: 대
58: 인
59: 천
60: 전
61: 광
62: 제
63: 경
64: 기
65: 강
66: 원
67: 충
68: 남
69: 북
70: 세
71: 종
72: EV
