epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.4042,0.97172,1.6154,0.97299,0.75755,0.74656,0.78915,0.61094,0.86883,0.51583,0.92714,0.00332549,0.00332549,0.00332549
2,114.155,0.867,0.63528,0.92206,0.87966,0.87485,0.92948,0.74535,0.70953,0.41646,0.8959,0.00663685,0.00663685,0.00663685
3,170.592,0.87277,0.61347,0.92754,0.87459,0.82258,0.92248,0.72618,0.76613,0.46897,0.91538,0.00992621,0.00992621,0.00992621
4,227.819,0.84913,0.56668,0.92294,0.89536,0.91093,0.95504,0.76177,0.71682,0.39023,0.90188,0.009901,0.009901,0.009901
5,283.561,0.80335,0.51561,0.91271,0.94179,0.91159,0.9549,0.77707,0.68022,0.34412,0.89321,0.009868,0.009868,0.009868
6,341.367,0.77594,0.47513,0.90446,0.92354,0.94925,0.9681,0.78627,0.68331,0.32902,0.89101,0.009835,0.009835,0.009835
7,402.463,0.75791,0.45558,0.90135,0.94698,0.94066,0.98011,0.80309,0.67389,0.33351,0.88974,0.009802,0.009802,0.009802
8,460.569,0.74629,0.43819,0.89682,0.93848,0.98067,0.98751,0.80036,0.68246,0.30244,0.88637,0.009769,0.009769,0.009769
9,518.666,0.73019,0.42321,0.8919,0.96823,0.96596,0.98797,0.81242,0.64711,0.29434,0.87982,0.009736,0.009736,0.009736
10,577.669,0.72219,0.4141,0.8912,0.96422,0.97482,0.99058,0.82144,0.64031,0.28749,0.8771,0.009703,0.009703,0.009703
11,632.641,0.71217,0.40459,0.88858,0.97717,0.97797,0.99146,0.82425,0.63882,0.27892,0.87651,0.00967,0.00967,0.00967
12,690.423,0.7069,0.39413,0.88694,0.97313,0.97868,0.99212,0.82675,0.63033,0.27328,0.87302,0.009637,0.009637,0.009637
13,752.405,0.70366,0.39282,0.88525,0.98256,0.96935,0.99095,0.82548,0.63698,0.27305,0.87446,0.009604,0.009604,0.009604
14,812.352,0.69771,0.38627,0.88476,0.96934,0.98241,0.99135,0.82413,0.63541,0.26921,0.87498,0.009571,0.009571,0.009571
15,872.119,0.6911,0.38016,0.88396,0.97688,0.9838,0.99183,0.83124,0.62607,0.26405,0.86988,0.009538,0.009538,0.009538
16,930.984,0.68677,0.37096,0.88178,0.97242,0.98251,0.9926,0.82888,0.62878,0.26412,0.87085,0.009505,0.009505,0.009505
17,987.21,0.68285,0.37083,0.88107,0.95865,0.98555,0.99087,0.83134,0.61831,0.25875,0.86912,0.009472,0.009472,0.009472
18,1044.97,0.67771,0.3638,0.87787,0.98144,0.98657,0.99167,0.83479,0.61235,0.26019,0.86746,0.009439,0.009439,0.009439
19,1106.36,0.67568,0.36279,0.87781,0.97795,0.97225,0.98275,0.82514,0.61486,0.25499,0.86767,0.009406,0.009406,0.009406
20,1167.74,0.67338,0.36163,0.87771,0.98237,0.98533,0.99385,0.83653,0.61085,0.25386,0.86734,0.009373,0.009373,0.009373
21,1225.58,0.66734,0.35706,0.87691,0.98274,0.9666,0.99224,0.83527,0.61101,0.25353,0.86648,0.00934,0.00934,0.00934
22,1284.4,0.66692,0.35457,0.87727,0.98292,0.97901,0.99172,0.82853,0.62922,0.25696,0.87062,0.009307,0.009307,0.009307
23,1339.93,0.66556,0.35025,0.8758,0.98117,0.98551,0.99335,0.83819,0.60987,0.24771,0.86543,0.009274,0.009274,0.009274
24,1397.85,0.66214,0.35068,0.87595,0.98289,0.98855,0.99369,0.83566,0.61152,0.24874,0.86637,0.009241,0.009241,0.009241
