epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.1419,1.01307,1.56193,1.19042,0.9763,0.94492,0.97349,0.70356,0.91125,0.79088,1.04752,0.00331865,0.00331865,0.00331865
2,58.9857,0.97633,0.82736,1.11865,0.97809,0.93952,0.97034,0.72042,0.90165,0.66933,1.03142,0.00663003,0.00663003,0.00663003
3,87.4704,1.04153,0.82563,1.16248,0.92422,0.77106,0.86345,0.58586,1.17821,0.97977,1.21031,0.00991941,0.00991941,0.00991941
4,116.865,1.06992,0.81301,1.18248,0.88463,0.84458,0.84635,0.56127,1.13241,0.98436,1.18729,0.009901,0.009901,0.009901
5,145.427,1.04031,0.75472,1.16893,0.89806,0.9406,0.89815,0.61326,1.02315,0.89045,1.12218,0.009868,0.009868,0.009868
6,174.009,1.00253,0.69209,1.15929,0.98233,0.9606,0.97168,0.70708,0.92748,0.52617,1.04054,0.009835,0.009835,0.009835
7,202.716,0.97273,0.6576,1.14543,0.96988,0.94384,0.96778,0.69241,0.94991,0.5322,1.05837,0.009802,0.009802,0.009802
8,231.172,0.95622,0.63786,1.13915,0.95399,0.94816,0.96503,0.71899,0.88693,0.55553,1.02379,0.009769,0.009769,0.009769
9,259.218,0.9442,0.6152,1.1362,0.98557,0.95889,0.97368,0.73961,0.83348,0.50971,1.00828,0.009736,0.009736,0.009736
10,288.087,0.92242,0.60274,1.13268,0.93295,0.95464,0.93373,0.6884,0.86835,0.59658,1.02102,0.009703,0.009703,0.009703
11,317.741,0.90047,0.58498,1.1157,0.96069,0.9501,0.96043,0.58886,1.23312,0.58332,1.24061,0.00967,0.00967,0.00967
12,347.037,0.89511,0.5725,1.11396,0.98561,0.96169,0.97988,0.76013,0.81274,0.42341,0.98691,0.009637,0.009637,0.009637
13,375.437,0.89561,0.56509,1.11738,0.97877,0.95896,0.97804,0.70866,0.95995,0.51238,1.06471,0.009604,0.009604,0.009604
14,403.969,0.88596,0.5548,1.11411,0.99231,0.96004,0.9814,0.74009,0.85341,0.42485,1.01484,0.009571,0.009571,0.009571
15,432.816,0.86308,0.53476,1.10805,0.98849,0.96652,0.98345,0.78367,0.77492,0.41254,0.96175,0.009538,0.009538,0.009538
16,467.384,0.87212,0.53301,1.11001,0.96729,0.95808,0.97886,0.72986,0.89834,0.46437,1.03598,0.009505,0.009505,0.009505
17,500.805,0.85297,0.52251,1.10075,0.98492,0.96544,0.98164,0.78484,0.75671,0.38428,0.95425,0.009472,0.009472,0.009472
18,535.637,0.85411,0.51676,1.10034,0.9813,0.96338,0.97785,0.76322,0.77722,0.43678,0.96259,0.009439,0.009439,0.009439
19,569.078,0.8378,0.507,1.09545,0.98539,0.96976,0.98363,0.78936,0.76255,0.36719,0.95744,0.009406,0.009406,0.009406
